card name,question,answer
"King Arthur","How does the Philosopher's Stone work with multi-element cards, such as King Arthur and Queen Guienevere? Would King Arthur, who requires 4 mana, cost 3 or 0 Mana to cast using the Stone","Cards that have different element symbols count as a spell of each of those affinities. So Arthur and Guinevere are each an Air spell, an Earth spell, a Fire spell, and a Water spell, all at the same time. But you are still casting them together as a single spell. So, assuming Arthur is your spellcaster's first spell of the turn, the Stone will offer a discount of 1 mana for Arthur, making him cost 3 mana. 

This also means that when Arthur is played he uses up the Stone for that spellcaster's turn because he's simultaneously the first Air, Earth, Fire, and Water spell played this turn. So the Spellcaster cannot continue to use the stone that turn."
"King of the Realm","What Mortals are affected by the first ability?","All Mortals, anywhere in the realm."
"","If a Mortal with Deathrite dies, who gets the Deathrite ability?","The King's controller, since Deathrite triggers while the units are technically still in the realm."
"","What happens if a second King of the Realm enters play?","See '((Example - Two Kings of the Realm))' in the codex."
"","If my opponent plays a Mortal with a Genesis ability and I have a King in play, who gets the Genesis ability?","The player with the King gets the benefit, since they control the Mortal as soon as it's in play."
"Kingdom of Agartha","If Kingdom of Agartha's ability is active, can I choose to summon minions underground without a printed Burrowing ability?","Yes. Kingdom of Agartha affects minions everywhere."
"","When is Kingdom of Agartha's ability active?","Whenever you have three earth affinity! It is not optional; it's a passive ability that's always on while you have the necessary affinity."
"Kythera Mechanism","How does this interact with Court Jester?","You don't get to look at your opponent's hand, but you do get to choose which of their cards they discard (e.g. site or spell)."
"","If two are played, which one takes precedence?","The most recently played one. See 'ongoing effects' for more details."
"","If there are two in play (and mine was played first), then I drop mine and pick it back up, do I take precedence?","No. Competing passive abilities are tracked based on when the card entered play."
"Land Deed","What happens if I have a minion that occupies more than one site (e.g. Mountain Giant) and also carries Land Deed?","Land Deed only grants you control of the site that Land Deed occupies."
"","If I gain control of a site in the middle of my turn, does it produce mana immediately?","No. Sites produce mana at the start of your turn and when they enter the realm. Since the site with Land Deed was already in the realm, it doesn't produce mana merely because you took control of it."
"","What happens if I have a Land Deed on Rubble?","You control the Rubble and your avatar will lose life if the Rubble takes damage, but the Rubble still doesn't provide mana. i.e. you own a hunk of worthless rock!"
"Leap Attack","Does this card count as an 'attack' since it has the word 'attack' in its name?","Sorry for the confusion, but no, this is not actually an attack! You only get an 'attack' from the Move and Attack basic ability, or card text that specifically uses the word attack (e.g. Crave Golem). This card text uses the word 'strike,' which means the unit simply deals damage equal to its power (and there's no chance for the opponent to Defend, and you can strike Stealthed or Airborne units, etc.)"
"Lightning Bolt","Can I lightning bolt the void?","Yes, but only if the spellcaster is in the void (since Lightning Bolt targets, the spellcaster must be in the same region)."
"Locusts of Illyria","Do I summon a copy the turn I first summon the Locusts?","Yes! At the end of the turn you first summon them, they will see that there are no 'new' Locusts (meaning Locusts summoned by the triggered ability), and thus summon a copy. The following turn if you still have two in the realm, you'll only get one more."
"Lord of Fear","What does 'defend alone' mean?","When the Defend window closes (see '((Attack))' in the codex for details), If only a single enemy unit uses the Defend ability, the Defender is removed from the fight and the original attack target is reinstated. Defenders still arrive one at a time, but if there's only one, the defense effectively is negated (though that one defender still got to tap and move to the attack's location)."
"Lord of Greed","How do I properly resolve this effect?","Lord of Greed may and must take a carriable artifact from anywhere in the realm, including from another unit sharing a location with him. In this case, 'elsewhere' means anywhere other than Lord of Greed's hands! He will take from allies as well. This does not target the artifact, but per the golden rule, he cannot take what he cannot detect, and thus artifacts carried by minions with stealth are safe from Lord of Greed."
"Lucky Charm","The alpha and beta text is different, which should I use?","The beta text is correct."
"Maddening Bells","If Maddening Bells tries to increase the cost of a spell that has an alternate casting cost of 0 (e.g. Deathspeaker ability while on death's door, Aramos Mercenaries), what happens?","The spell costs 2. See '((Cost))' for more details."
"","When summoning minions, does Maddening Bells care about the location where the minion is summoned, or where the spellcaster is?","Only where the spellcaster is, not the summoning location."
"","If the Spellcaster is nearby Maddening Bells but the spell affects something not nearby, does it still cost 2 extra mana?","Yes. Maddening Bells's ability only cares about the Spellcaster's position."
"Maelström","Does the movement get resolved simultaneously?","Yes, all the steps are simultaneously resolved (which might then provoke a variety of triggers)."
"","If I choose to pull a minion, do I have to pull all minions?","Yes."
"","Can I use Floodplain before Maelström triggers?","No. Floodplain is an activated ability, which can only be activated during your Main Phase."
"","Consider the group of sites below. An oversized minion occupies 1-2-4-5. Maelström is #5. Can the oversized minion be pulled in any way?","Yes. When pulling or pushing an oversized unit, choose a single location the oversized unit occupies (and meets the requirement of the effect), and push/pull from there. So, assuming Sites 2 and 4 are water sites as well, you could choose Site 2: Oversized minion is pulled South, and ends up at 4-5-7-8. OR, choose Site 4: Oversized minion is pulled East, and ends up at 2-3-5-6. OR, choose Site 5: Oversized minion isn't pulled at all."
"Magellan Globe","If Magellan Globe is in play, can an aura or an oversized unit be cast on the edge of the realm, spanning the realm?","Yes. Ensure that the game state is clear, so all players know which sites the aura occupies, using notes as needed."
"","If Magellan Globe is in play and an Oversized unit on the top row moves 'up' one row to wrap around to the bottom, what happens?","Since Magellan Globe is an ongoing effect that connects the top and bottom edges, the oversized unit can occupy 2 locations on the top row and 2 locations on the bottom row. Ensure that game state is clear, using notes as needed."
"","If Magellan Globe leaves play when a card is spanning the edge of the realm, what happens?","Units cannot balance on the edge of the realm and an oversized unit that finds its way there falls to one side or the other. Its controller places it in the closest legal position, controller's choice if tied."
"","What happens if I cast a spell that does grid-based damage?","The grid can span edges of the realm as needed, since they are connected."
"","Will effects that check 'adjacent' or 'nearby' (e.g. Poison Nova) span edges of the realm?","Yes."
"","Can projectiles go around the edges of the realm?","Yes, as long as they don't change regions. There are exactly four regions in Sorcery: Surface, Void, Underwater, Underground."
"","Can I play Earthquake or other similar 2x2 area effects around the edge of the realm with Magellan Globe in play?","Yes."
"","Can Airborne units in one corner of the realm fly directly to the opposite corner if Magellan Globe is in the realm?","Yes."
"","Are there any other corner cases for Magellan Globe?","I think you mean edge cases! Let us know if you think of any more we should add. In general, apply the golden rule and have fun!"
"Magician","What if an effect directs me to draw a spell, but it turns out there's a site on top of my spellbook?","All cards in your spellbook are considered spells while in your spellbook, so you can draw it normally."
"","What if an effect directs me to draw a site?","You have no atlas, and thus any effect that causes you to draw sites will not resolve. You don't draw any cards and you don't lose the game. You cannot choose to draw from your atlas in your start phase."
"","What if an effect specifies a spell or site from a zone other than my spellbook?","If an effect cares about spell vs. site while the card is outside of your spellbook, you must follow the effect correctly at the moment the effect resolves. Several examples: If resolve Stone Rain, you must honestly state how many sites you have in your hand at that moment. You can partially remove cards from their sleeves and show the back to demonstrate the accurate count to your opponent, or call a judge in a tournament if you have foil cards (or double sleeve your cards with different inner color sleeves in the case of foils). If your opponent plays Pith Imp, you must honestly specify your spells in hand, and randomly select from only those. If your opponent attacks your Wizard's Den for the first time and you don't have any spells in hand, you must honestly demonstrate to your opponent that you only have sites in hand. If you play Sisters of Avalon and have no spells in hand, you must honestly demonstrate to your opponent that you have no spells. After an effect resolves that requires you to reveal the number of spells and sites in your hand, you may then mix up the cards in your hand again so that your opponent doesn't know which cards are spells and which are sites."
"","Am I required to sleeve my cards, and if so, how should I do it?","You are required to sleeve your cards, and they should all be the same. Cards in your spellbook and collection should be indistinguishable whether they are sites or spells."
"Makeshift Barricade","If I do 1 damage to three minions simultaneously, does the Barricade break?","Yes, because 1+1+1 = 3 damage dealt all at the same time."
"Mariner's Curse","What if this is animated by an Enchantress?","If an animated Mariner's Curse moves and enters a water site, it will submerge itself (if possible) and die (assuming it doesn't have Submerge). If it hasn't died, it will then return itself to its owner's hand. It will not have a chance to attack before its effect resolves, because the move happens before the attack."
"","If I Grapple Shot a minion with Submerge through an area affected by Mariner's Curse, what happens?","When the Grapple Shot projectile hits the unit, the game adds specific movement steps for the ally to the Storyline: Move A (surface) -> B (surface), Move B (surface) -> C (surface). Then, we start resolving those steps. If Mariner's Curse is on site B, once the unit being dragged reaches site B, it will be submerged, and live. Then the game tries to resolve Move B (surface) -> C (surface), which fails, since the unit isn't on the surface of site B anymore. Thus, there's no strike from Grapple Shot since it didn't reach the hit unit's location."
"","An oversized unit occupies a specific site and then moves. After the move, it still occupies that site. Did it enter the site?","No. It was already there, and remained there (though it may have entered different sites due to its move)."
"Mask of Mayhem","If I double twice, is it multiplied by 4?","Yes."
"Master Tracker","Once the Master Tracker leaves play, does a future enemy that arrives with Stealth still have stealth?","Yes. But enemies that already lost Stealth won't regain it."
"Mayor of Milborne","Does this buff my opponent's Mortals as well?","Yes! The Mayor wants as many votes as possible!"
"Megamoeba","If I play Dodge Roll on my Megamoeba, does the attack still go through because the Megamoeba is still occupying the original location?","Yes, the target is still valid, but Megamoeba now has +1 power from the extra location it occupies thanks to Dodge Roll."
"","If my opponent uses an effect that moves sites (e.g. Atlas Wanderer, Earthquake, etc.), what happens?","Megamoeba moves with the site. Megamoeba is mostly treated a normal size unit for movement effects."
"","If Megamoeba starts at 2 power, can it move into Gnome Hollows (thus getting to 3 power)?","Yes. First, Megamoeba enters, then it grows in power immediately after entering."
"","What happens if Megamoeba is the target of Whirling Blades?","The Megamoeba moves 2 steps by extending a pseudopod twice (possibly from two different starting locations), and gains 2 power. Then, it strikes all enemies in the starting and destination locations of the pseudopods that took the steps."
"","When the Megamoeba is teleported, does its passive ability still apply?","Yes. A single pseudopod enters the teleportation destination, and the Megamoeba can become a single oversized unit that spans non-adjacent squares. The Megamoeba is weird."
"","What happens if Megamoeba is in a Silence aura?","As soon as it enters the Silence aura, it loses its abilities, but size is considered a characteristic and thus persists. Therefore, it continues to occupy all the locations, but it doesn't get the +1 power per location. It will move like any other oversized unit (albeit potentially strangely shaped)."
"","Can Megamoeba declare a movement to a location it already occupies? (e.g. if it wanted to move an artifact it was carrying)","Yes. Megamoeba is weird."
"","What happens when Megamoeba gets pulled / pushed?","Choose a specific location it occupies and pull / push a single pseudopod from there."
"","If the Megamoeba occupies a site with an enemy, can the Megamoeba take the Move and Attack basic ability to move first, and then attack that original enemy, thus growing in power beforehand?","Yes."
"","If the Megamoeba occupies a site with an enemy, and the Megamoeba moves to a different site without attacking, can the enemy intercept?","Yes! If Megamoeba uses Move and Attack, then doesn't attack, any enemy that shares a location with them may tap to intercept."
"","What happens if Megamoeba gains burrow or submerge?","It can occupy both the surface location and the subsurface location on a site, and each occupied location will grant +1 power, per card text. 40 power Megamoeba, here we come!"
"","What happens if Megamoeba is forcefully burrowed or submerged without the burrow or submerge ability?","If any part of unit occupies an inhospitable location, it dies. So, the Megamoeba would die in this case."
"","What happens when the Megamoeba gets carried?","It occupied all the locations it was carried through."
"Mephistopheles","How do I resolve this effect?","If you cast Mephistopheles, your Avatar is banished. Mephistopheles is now your Avatar. He retains Unique rarity, Demon type, and Air element, but he's no longer a minion and only an Avatar. Your current and maximum life remain the same. Notably, you won't be able to play sites normally because Mephistopheles doesn't have that ability. You will still be able to cast spells because Avatars are spellcasters as one of their characteristics. If you manage to summon Mephistopheles without casting him, then he will not replace your avatar, but his second ability will still function."
"Merlin","How does Merlin's ability work and what does 'any time' actually permit?","This is a passive ability, usable any time on your turn, including during your start phase before you draw a card. But, you may still only cast spells when they are normally permitted to be cast (i.e. during your Main Phase when nothing else is on the storyline other than this ability). Technically, if a Crave Golem were attacking during your Start Phase, Merlin could cast a Dodge Roll then!"
"Meteor Shower","Can I choose sites that share a corner?","Yes. 'Border' means adjacent squares, not including diagonals."
"Miracle Workers","If multiple minions including Miracle Workers die at the same time on Geistwood, can Miracle Workers return themselves and/or another minion that's dying to your hand?","No, because Miracle Workers only return minions from the cemetery, and deathrites resolve while the minions are still in the realm. The Miracle Workers could return other minions that died earlier that turn and were in the cemetery."
"Mirage","What happens if I try to use Mirage's alternate play text when it's played via Pathfinder?","When using the Pathfinder's ability, you reveal the site, then play it in an adjacent Rubble or void (then Pathfinder moves there). Mirage's ability cannot be combined with Pathfinder."
"Mirror Realm","How do Smokestacks of Gnaak and Mirror Realm interact?","By the time Mirror ))Realm(( enters the realm, it's already a copy. Thus, it can copy a nearby site, and then promptly loses all abilities of that copied site (but still is the copy, without abilities). See '((Apply Ongoing Effects In Order))' in the codex for nitty-gritty details."
"","What if Mirror Realm loses its abilities after it enters play (e.g. Smokestacks of Gnaak is played later)?","Mirror ))Realm(( remains a copy, but any abilities that were printed on the original site are now ignored."
"","Does Mirror Realm also copy the rarity of the chosen site?","Yes, it's as if you had the exact same card."
"","Can Mirror Realm copy Rift Valley and enter the realm in the special way, as long as it ends up nearby the Rift Valley that it's copying?","Yes."
"Mismanaged Mortuary","Once this is in play, do I put cards into the cemetery that I own or the cemetery that I control?","You always put your cards into the cemetery you own (the one nearby your deck)."
"","If I have Wormelow Tump in play, what happens?","The cemeteries are still swapped, and you protect everything in 'your' cemetery (which is really your opponent's)."
"","If there are an even number of Mismanaged Mortuaries in play, do they cancel out?","Yes."
"Morgana le Fay","Where do I keep Morgana's hand of cards?","See '((Only It Can Cast))' in the codex."
"Mother Nature","Does 'here' mean Mother Nature's location or site?","'Here' references Mother Nature's exact location."
"Mount Ussar Sanctuary","When I flee, is it step by step movement or teleportation?","It's step by step movement!"
"","After fleeing, if I somehow fail to reach the Sanctuary, do I still gain the Ward?","No!"
"","What path can I choose when resolving this ability?","See ((Moving to a Specific Location Via a Special Ability or Magic)) in the Codex."
"Mountain Giant","What happens if a Mountain Giant occupies a Silence aura?","A card's size is generally set when it enters the realm, and is considered one of its characteristics, not an ability. It will not resize."
"","If Magellan Globe is in play and an Oversized unit on the top row moves 'up' one row to wrap around to the bottom, what happens?","Since Magellan Globe is an ongoing effect that connects the top and bottom edges, the oversized unit can occupy 2 locations on the top row and 2 locations on the bottom row. Ensure that game state is clear, using notes as needed."
"","If Polar Explorers or Ruler of Thul are in play and an oversized unit on the top row moves 'up' one row to wrap around to the bottom, what happens?","This ability only allows movement across the borders, not ongoing occupation. Units cannot balance on the edge of the realm and an oversized unit that finds its way there falls to one side or the other. Its controller places it in the closest legal position, controller's choice if tied."
"","If Magellan Globe leaves play when a card is spanning the edge of the realm, what happens?","Units cannot balance on the edge of the realm and an oversized unit that finds its way there falls to one side or the other. Its controller places it in the closest legal position, controller's choice if tied."
"Mountain Pass","You have a minion on my Mountain Pass. Can I summon a minion on the site?","Yes. Though summoning is included in 'entering,' it is not moving on the ground. So you can summon all you want, since summoning isn't moving."
"","Your minion attacks my Mountain Pass. Can my adjacent minion defend?","Technically, my adjacent minion (without Airborne or Voidwalk) could tap to declare a defense, but it wouldn't move to the Mountain Pass, since your attacker is already there. So, my minion would just end up tapped where it started, without actually redirecting the attack. It would almost certainly be better to not declare the defense."
"","What does 'enter this site on the ground' mean?","Entering on the ground only covers movement from the surface of an adjacent site to the surface of the Mountain Pass, excluding Airborne and teleportation."
"","I have a minion on my Mountain Pass, and a voidwalk minion on an adjacent square. Can I move from the void to Mountain Pass?","Yes, since moving on the ground requires the unit to start from the surface of a site. Since the void isn't a site, moving from the void to Mountain Pass isn't considered moving on the ground."
"Mudflow","Once I target the site, do I also pick 'surface' or 'unburrow?'","No, you simply target the site, and then the proper action is applied. If a water site is the target, minions there are surfaced. If a land site is the target, minions there are unburrowed."
"Mudslide","Do I pick left or right for all units together, or can I choose different directions?","Choose left or right, and apply it to every unit at land sites in the column."
"","Does this effect span the void?","Yes."
"Occult Ritual","The alpha, alternate art version of this card from the pledge pack has the text 'Spellcaster nearby,' while the regular foil and non-foil versions have the text 'Spellcaster here.' which is correct?","The normal version is correct. The text should be 'Spellcaster here.' The alternate art version is not legal for tournament play."
"Old Salt Anchorman","Does this ability protect my minions from movement effects like forceful burrowing (e.g. Bury), submerge (e.g. Drown), and teleportation (e.g. Chaos Twister)?","Yes, all of those effects are movement. With Chaos Twister, don't even attempt to blow the card if the target is an ally nearby Old Salt Anchorman."
"","Does this ability prevent my opponent from rearranging sites? (e.g. Earthquake, Atlas Wanderers)","No, your opponent can still rearrange sites, because that doesn't count as moving the units, just the sites."
"Onyx Core","When does this artifact provide mana?","When it enters the realm, and at the start of its controller's turn."
"Orb of Ba'al Berith","Is the Orb the spellcaster for the copied spell?","Yes."
"Ormund Harpooneers","Does the target need to be in the same region as the Harpooneers?","No. Normally the answer is yes, but the card text 'above or ((below))' means that normal targeting restrictions are ignored, and the Harpooneers can be in any region (surface, underground, underwater, or in the void). As long as there is an adjacent Water site to the Harpooneers and a minion occupying that water site, it will get pulled to the Harpooneers' location."
"","Does the 'adjacent Water site' need to be in the same region as the Harpooneers?","No. Because the Water site is not targeted, and because the card text uses 'site' instead of 'location,' the site does not need to be in the same region as the Harpooneers."
"Orpheus' Crossing","On my turn when I go to Death's Door, can I still take damage and lose life?","Yes. You cannot lose the game due to taking damage, but taking damage and losing life will reduce your life total if possible. See '((Death's Door))' for more details."
"Pact with the Devil","If a non-minion (e.g. River of Flame, or Orb of Ba'al Berith) is the spellcaster, can I sacrifice it?","Yes!"
"","Do you round up your life loss, or round up your ending life?","Round up the life loss. For example, if you had 3 life, you'd lose 2, ending up at 1."
"Pathfinder","The alpha and beta text is different, which should I use?","The beta text is correct."
"","Where does Pathfinder play its first site turn 1?","You must play your first site turn 1 under the Pathfinder per the game rules."
"","Does Pristine Paradise provide mana the turn the Pathfinder plays it from the atlas? That is, does the site have enough time to make mana before the Pathfinder moves onto it?","Yes, sites immediately generate mana when they come into play."
"","What happens if I try to use Mirage's alternate play text when it's played via Pathfinder?","When using the Pathfinder's ability, you reveal the site, then play it in an adjacent Rubble or void (then Pathfinder moves there). Mirage's ability cannot be combined with Pathfinder."
"","If I have no sites but it's not the first turn (e.g. Roots of Yggdrasil destroyed everything) and I use the Pathfinder's ability, am I forced to play the site under the Pathfinder's current location, or could I play the site adjacent?","Since it's not the first turn of the game, you aren't forced to play under yourself. The Pathfinder offers an alternate way to play sites, and thus you could play it adjacent if you wanted."
"","What happens if I try to use Rift Valley's ability when it's played via Pathfinder?","When using the Pathfinder's ability, you reveal the site, then play it in an adjacent Rubble or void (then Pathfinder moves there). With Rift Valley, you could use its ability to make a void adjacent to Pathfinder, then play it there (and Pathfinder would then move there)."
"","Can I use this ability even if I'm surrounded by sites, in the hopes that Rift Valley is on top of my atlas?","Yes, you may use the ability. Assuming a normal site (and not Rift Valley) is on top of your atlas, you'll reveal it, do nothing, and then put it back on top of your atlas."
"Payload Trebuchet","Do both units need to have been in play for a turn or have charge?","Yes. Summoning sick units can't be tapped to pay costs."
"Persecutor","Can I brand an enemy and step toward the closest Evil on the same turn?","No, you must choose only one option each turn."
"","Can I brand an enemy in a different region, or one with Stealth?","Yes! Branding does not target, and therefore you can choose minions in different regions and/or those with Stealth. This can combo successfully with other cards that care about minions being Evil!"
"","Can I brand an enemy who can't be modified, e.g. Monks of Kobalsa? Can I brand an enemy even if no minions are Evil, e.g. Saint of Redemption?","Yes, you can still brand them, and your cards will still treat them as Evil. They aren't actually being modified or becoming Evil; your cards just treat them that way."
"","If my opponent has a warded minion and I brand it as Evil, does it lose Ward?","No, because only your cards treat it as Evil. Also, branding does not target, so Ward won't break for that reason either."
"","When determining 'closest Evil,' do I only consider units in my region?","Yes! See '((Closest))' for more details."
"Phantom Steed","What happens when a minion carries another minion that's carrying a minion?","Only the minions you're directly carrying count against your limit. Have fun at the carnival!"
"Philosopher's Stone","If I have two (e.g. via Replication), do the effects stack?","Yes."
"","How does the Philosopher's Stone work with multi-element cards, such as King Arthur and Queen Guienevere? Would King Arthur, who requires 4 mana, cost 3 or 0 Mana to cast using the Stone","Cards that have different element symbols count as a spell of each of those affinities. So Arthur and Guinevere are each an Air spell, an Earth spell, a Fire spell, and a Water spell, all at the same time. But you are still casting them together as a single spell. So, assuming Arthur is your spellcaster's first spell of the turn, the Stone will offer a discount of 1 mana for Arthur, making him cost 3 mana. 

This also means that when Arthur is played he uses up the Stone for that spellcaster's turn because he's simultaneously the first Air, Earth, Fire, and Water spell played this turn. So the Spellcaster cannot continue to use the stone that turn."
"Pith Imp","Where does the stolen spell go?","It goes to a separate zone as if the Pith Imp was carrying the spell; it does not go to your hand. You may look at the spell and your opponent may not (though they do get to see the spell at the moment you steal it)."
"","If Pith Imp somehow gains Spellcaster, can it pretty please cast the spell it stole?","Yes, that does seem fun!"
"Plague of Frogs","Where can I summon the frogs?","You can summon each of them to whatever locations will cause maximum annoyance."
"Polar Explorers","If Polar Explorers or Ruler of Thul are in play and an oversized unit on the top row moves 'up' one row to wrap around to the bottom, what happens?","This ability only allows movement across the borders, not ongoing occupation. Units cannot balance on the edge of the realm and an oversized unit that finds its way there falls to one side or the other. Its controller places it in the closest legal position, controller's choice if tied."
"Pollimorph","Does a pollimorphed animated aura (e.g. Enchantress) return to an aura form later?","No. It is permanently a Frog token, and occupies a single location."
"","If the original minion occupied more than one location, what happens?","The controller of the transformation effect chooses which location the Frog token occupies."
"Pristine Paradise","Does Pristine Paradise provide mana the turn the Pathfinder plays it from the atlas? That is, does the site have enough time to make mana before the Pathfinder moves onto it?","Yes, sites immediately generate mana when they come into play."
"Quagmire","If the genesis resolves, and then my opponent plays Smokestacks of Gnaak nearby, does the Quagmire effect continue?","Yes. The genesis ability creates an effect that lasts until the start of your next turn."
"Queen Guinevere","How does the Philosopher's Stone work with multi-element cards, such as King Arthur and Queen Guienevere? Would King Arthur, who requires 4 mana, cost 3 or 0 Mana to cast using the Stone","Cards that have different element symbols count as a spell of each of those affinities. So Arthur and Guinevere are each an Air spell, an Earth spell, a Fire spell, and a Water spell, all at the same time. But you are still casting them together as a single spell. So, assuming Arthur is your spellcaster's first spell of the turn, the Stone will offer a discount of 1 mana for Arthur, making him cost 3 mana. 

This also means that when Arthur is played he uses up the Stone for that spellcaster's turn because he's simultaneously the first Air, Earth, Fire, and Water spell played this turn. So the Spellcaster cannot continue to use the stone that turn."
"Raise Dead","Where can I summon the raised minion?","After randomly determining the dead minion, you may summon it anywhere."
"Replication","Where can I conjure the copy?","You can conjure it anywhere."
"Rhongomyniad","How does this work?","After the throw, Rhongomyniad is in the final location along its path, and is not carried by any unit."
"","What happens when two things that strike first clash at the same time?","If multiple units in the same fight have an ability that allows them to strike first, they strike at the same time. Then any surviving units without that ability make their strikes."
"Riddle Sphinx","Can I draw a site with this effect?","Try this riddle: Which spell will I draw? Fooled you! Neither of them! (Yes, you can draw a site.)"
"Rift Valley","Can you 'pull apart' a row with a single site?","No. That's not what 'pull apart' means."
"","What is a technical definition of what's happening when you use this card's ability?","Choose a row or column with two adjacent sites and at least one void. Then, 'pull apart' the two adjacent sites as follows: one site stays in its current square, and the other site (along with all other contiguous sites in its row or column) shifts one square. Put Rift Valley in the void that was just created. The shifting of sites and the arrival of Rift Valley happen simultaneously."
"","Can you play Rift Valley into an area affected by Atlantean Fate?","Yes, since Atlantean Fate only affects the site once it's already in play, and Rift Valley modifies how it's played in the first place."
"","How do Smokestacks of Gnaak and Rift Valley interact?","Rift Valley enters the realm using its ability, and only loses its ability once it's in the realm (which by then, it doesn't really matter)."
"","When pulling apart the row or column to place the site, can Rift Valley be played non-adjacent to your other sites?","Yes."
"","Does this move oversized units or auras that occupy more than one square?","No."
"","What happens if I try to use Rift Valley's ability when it's played via Pathfinder?","When using the Pathfinder's ability, you reveal the site, then play it in an adjacent Rubble or void (then Pathfinder moves there). With Rift Valley, you could use its ability to make a void adjacent to Pathfinder, then play it there (and Pathfinder would then move there)."
"","Can Mirror Realm copy Rift Valley and enter the realm in the special way, as long as it ends up nearby the Rift Valley that it's copying?","Yes."
"","If I have no sites but it's not the first turn (e.g. Roots of Yggdrasil destroyed everything) and I play Rift Valley, am I forced to play the site under my avatar, or could I pull apart a row of Rubble and play it there?","Since it's not the first turn of the game, you aren't forced to play under yourself. Rift Valley offers an alternate way to play a site, and thus you could pull apart a row and play it there if you wanted."
"Riptide","Can riptide pull a voidwalk minion in the void?","No, because minions in the void aren't 'aboveground.'"
"","What are the details of pulling an oversized minion that occupies the water site and other locations?","When pulling or pushing a oversized unit, choose a single location the oversized unit occupies (and meets the requirement of the effect - e.g. adjacent), and push/pull from there."
"River of Blood","If there are two Rivers of Blood in play, do they stack?","Yes. Half the healing (rounding down), then half the healing again (round down). So [[Divine Healing]] would heal 1 with two Rivers of Blood in play."
"River of Flame","If River of Flame casts a spell, choosing the surface, but there are Maddening Bells underground, is the River of Flame affected?","Yes! Those bells are so loud (and still nearby the caster)."
"","If River of Flame casts a spell, must you pick a region that it's casting from?","Yes. Pick surface or underground when you cast the spell (or underwater if it's flooded)."
"Roaming Monster","The term 'summon' means 'enter the realm.' So, does that mean I can play this minion for free?","No. This effect simply provides additional locations where you may summon this minion."
"Rolling Boulder","What happens if Magellan Globe is in play and I push it along a complete row or column?","The Rolling Boulder continues until it would repeat a step (i.e. back to where it started), and then stops instead of repeating a step. It doesn't do 8 damage on the starting location, since a location is either along its path or not."
"","If there are two units on a site and one of them uses the boulder, does the other one get damaged?","Yes. It's dangerous to play with boulders."
"","What path does the boulder take?","It travels in a chosen cardinal direction, staying within the same region."
"Roots of Yggdrasil","What happens to destroyed Rubble?","Nothing (it turns into more Rubble, and thus doesn't change)."
"Rowdy Boys","When exactly is 'after striking' ?","After effects concurrent with striking (e.g. after gaining life via Daperyll Vampire), but before any Deathrite abilities resolve. It's in the same moment that Stealth would break due to striking."
"Ruby Core","When does this artifact provide mana?","When it enters the realm, and at the start of its controller's turn."
"Ruler of Thul","If Polar Explorers or Ruler of Thul are in play and an oversized unit on the top row moves 'up' one row to wrap around to the bottom, what happens?","This ability only allows movement across the borders, not ongoing occupation. Units cannot balance on the edge of the realm and an oversized unit that finds its way there falls to one side or the other. Its controller places it in the closest legal position, controller's choice if tied."
"Scatter","Does the site itself get pushed?","No."
"","Can I choose different directions for each card being pushed?","Yes."
"Scorched Earth","A minion with Gilded Aegis is on a site chosen for Scorched Earth. The Aegis and the minion are being destroyed simultaneously. Does the Aegis have a chance to save the minion before it's destroyed?","Yes."
"","If I target Bedrock with Scorched Earth, the Bedrock obviously isn't destroyed, but is everything else still destroyed?","Yes. (Remember Avatars cannot be destroyed.)"
"","Can I choose zero sites?","Yes. 'Any number' includes zero."
"Scourge Zombies","If Scourge Zombies and an allied mortal die at the same time (e.g. Minor Explosion), does the Zombie's ability bring it back immediately?","No, since the Scourge Zombies must be in the cemetery for their ability to trigger when the mortal dies."
"Sea Raider","If Sea Raider attacks a 3 power minion, killing it but also dying in the process, does the Raider have time to use their ability before they die?","Yes. After units are killed, there is time for effects to resolve (e.g. Deathrite) before minions are placed in cemeteries. This effect resolves in the same window of time as deathrites."
"","If I declare an attack against one target, but then a different enemy defends, does that satisfy this ability?","Yes. An attack was made, and then a minion was killed. As long as your attacking unit used the Move and Attack ability and then got kill credit, this ability is satisfied."
"Seasoned Sellsword","If my avatar is nearby Seasoned Sellsword, can I discard a card for her ability even if I already control her?","Yes!"
"Seirawan Hydra","How can I kill a Hydra?","Deal 1 lethal damage, or 6 damage all at once. Multiple sources of simultaneous damage will work. For example, if the Hydra attacks and two [[Bosk Troll]]s defend, the Hydra will be killed. Note that damage done one at a time, e.g. [[Arcane Barrage]], would not kill it, since each individual 1 damage would be immediately healed."
"Selfsame Simulacrum","If it tries to become a basic copy of an aura animated by Enchantress, what happens?","Selfsame Simulacrum becomes an aura (not a minion), since that's the actual text on the animated aura. As soon as Selfsame Simulacrum is an aura, it expands to its proper size based on card text (and default aura rules), and must continue to occupy the location that was specified during casting."
"","Can it enter the realm Submerged if it copies a Submerged minion (or Voidwalk, or Burrowing)?","No. When you cast a minion spell, you specify where the minion will enter the realm at time of casting. When the minion actually enters the realm (i.e. it's summoned), that's when Selfsame Simulacrum's copy ability applies. Without Submerge / Burrowing / Voidwalk when it's cast, Selfsame Simulacrum can't use those abilities to change where it's summoned."
"","Does it copy Genesis abilities?","Yes."
